"운영차량","해당연월","배차위치","작업경로","운행거리(km)","작업거리(km)","미세먼지 제거량(kg)"
"C","2020-02","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1330","769","375.39"
"C","2020-03","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1702","1003","477.9"
"C","2020-04","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1821","1025","480.6"
"C","2020-05","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1547","853","357.24"
"C","2020-06","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1531","833","374.73"
"C","2020-07","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1010","531","251.3"
"D","2019-06","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1408","519","534.69"
"D","2019-07","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1614","822","602.52"
"D","2019-08","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1692","867","488.64"
"D","2019-09","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1174","612","268.1"
"D","2019-10","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1605","936","394.63"
"D","2019-11","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1712","950","394.95"
"D","2019-12","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1496","792","290.98"
"D","2020-01","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1422","765","635.83"
"D","2020-02","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1334","762","544.53"
"D","2020-03","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1730","1034","585.89"
